Employee_ID,Emp_Name,Age,Department,Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work
EMP1000,Bob Davis,25,DevOps,California,Active,02-04-2021,59767.64844,bob.davis.emp1000@example.com,1651623197,Average,1
EMP1001,Bob Brown,32,Finance,Texas,Active,10-07-2020,65304.66016,bob.brown.emp1001@example.com,1898471390,Excellent,1
EMP1002,Alice Jones,32,Admin,Nevada,Pending,07-12-2023,88145.89844,alice.jones.emp1002@example.com,5596363211,Good,1
EMP1003,Eva Davis,25,Admin,Nevada,Inactive,27-11-2021,69450.99219,eva.davis.emp1003@example.com,3476490784,Good,1
EMP1004,Frank Williams,25,Cloud Tech,Florida,Active,05-01-2022,109324.6094,frank.williams.emp1004@example.com,1586734256,Poor,0
EMP1005,Alice Garcia,40,Sales,Texas,Inactive,10-06-2020,88642.84375,alice.garcia.emp1005@example.com,5409003485,Good,0
EMP1006,Frank Jones,32,Admin,Nevada,Active,03-04-2020,96288.42969,frank.jones.emp1006@example.com,4518376063,Good,0
EMP1007,Bob Jones,30,Cloud Tech,Florida,Inactive,17-07-2022,94497.90625,bob.jones.emp1007@example.com,4134327559,Average,1
EMP1008,Frank Davis,35,Admin,Nevada,Inactive,08-12-2023,115565.8203,frank.davis.emp1008@example.com,4177656123,Excellent,1
EMP1009,Charlie Johnson,32,DevOps,New York,Active,04-08-2022,76561.88281,charlie.johnson.emp1009@example.com,8156985699,Excellent,1
EMP1010,David Williams,35,Cloud Tech,New York,Active,06-07-2024,72081.71094,david.williams.emp1010@example.com,2720634590,Average,0
EMP1011,David Davis,32,DevOps,California,Active,04-09-2023,84946.1875,david.davis.emp1011@example.com,1238296576,Poor,1
EMP1012,Heidi Williams,30,HR,New York,Active,05-03-2024,89295.77344,heidi.williams.emp1012@example.com,2429543164,Excellent,0
EMP1013,Grace Williams,32,Finance,California,Active,10-10-2020,85666.84375,grace.williams.emp1013@example.com,2669300892,Good,0
EMP1014,Alice Garcia,25,Admin,Nevada,Active,10-06-2024,97633.67969,alice.garcia.emp1014@example.com,1734206968,Excellent,1
EMP1015,Grace Jones,40,Sales,Florida,Pending,29-05-2021,117975.4922,grace.jones.emp1015@example.com,4215291085,Good,1
EMP1016,Alice Brown,25,DevOps,Illinois,Inactive,23-04-2024,94867.32813,alice.brown.emp1016@example.com,7713334475,Poor,0
EMP1017,Grace Garcia,30,Finance,Texas,Pending,28-11-2024,100377.6484,grace.garcia.emp1017@example.com,2639343625,Average,1
EMP1018,Charlie Garcia,32,Cloud Tech,Nevada,Inactive,19-09-2024,94726.46094,charlie.garcia.emp1018@example.com,2044397358,Excellent,0
EMP1019,Charlie Williams,35,Admin,Illinois,Pending,02-01-2020,91926.11719,charlie.williams.emp1019@example.com,7107256365,Average,1
EMP1020,Bob Miller,35,HR,New York,Active,08-05-2021,111460.6719,bob.miller.emp1020@example.com,9411800536,Excellent,1
EMP1021,Bob Jones,40,Cloud Tech,Illinois,Active,19-09-2020,96182.5625,bob.jones.emp1021@example.com,5990048963,Good,0
EMP1022,Charlie Johnson,35,Sales,Illinois,Inactive,09-03-2021,115023.9375,charlie.johnson.emp1022@example.com,6528092427,Average,1
EMP1023,David Garcia,35,Finance,Nevada,Pending,03-02-2022,80667.00781,david.garcia.emp1023@example.com,7572158623,Excellent,0
EMP1024,Bob Brown,30,Admin,Texas,Inactive,13-02-2020,91181.60938,bob.brown.emp1024@example.com,1502745643,Good,1
EMP1025,David Miller,25,Cloud Tech,Nevada,Pending,30-04-2020,66025.92188,david.miller.emp1025@example.com,9485625727,Average,0
EMP1026,Frank Miller,25,Sales,New York,Inactive,02-10-2023,83979.00781,frank.miller.emp1026@example.com,7032032073,Average,0
EMP1027,Heidi Johnson,30,Finance,Florida,Active,12-07-2020,56785.16016,heidi.johnson.emp1027@example.com,2761707586,Excellent,1
EMP1028,Grace Garcia,40,Finance,Nevada,Active,11-10-2023,95741.88281,grace.garcia.emp1028@example.com,7712151341,Excellent,0
EMP1029,Alice Brown,40,DevOps,California,Active,24-05-2021,63411.30859,alice.brown.emp1029@example.com,2849939088,Excellent,1
EMP1030,Charlie Jones,40,Admin,California,Inactive,26-05-2021,111214.0234,charlie.jones.emp1030@example.com,2613715040,Good,1
EMP1031,Bob Smith,25,DevOps,Illinois,Active,10-07-2020,114845.6875,bob.smith.emp1031@example.com,6591520176,Excellent,1
EMP1032,Charlie Brown,40,Finance,Florida,Active,05-11-2024,78072.82031,charlie.brown.emp1032@example.com,7490509758,Average,0
EMP1033,Grace Johnson,25,Finance,California,Inactive,07-08-2021,79610.52344,grace.johnson.emp1033@example.com,2304501895,Average,0
EMP1034,Heidi Miller,30,Admin,California,Active,29-04-2020,90542.61719,heidi.miller.emp1034@example.com,1642361031,Excellent,1
EMP1035,Frank Jones,25,Cloud Tech,Illinois,Inactive,26-10-2022,114357.1016,frank.jones.emp1035@example.com,6642147648,Excellent,1
EMP1036,Alice Brown,32,Cloud Tech,New York,Active,03-05-2023,54757.26172,alice.brown.emp1036@example.com,2515837766,Poor,0
EMP1037,Grace Smith,25,Sales,New York,Pending,02-05-2023,52781.92188,grace.smith.emp1037@example.com,4996165925,Average,1
EMP1038,Frank Smith,35,Admin,Nevada,Pending,05-10-2021,66708.02344,frank.smith.emp1038@example.com,6108573277,Good,1
EMP1039,Eva Williams,40,HR,Texas,Active,27-07-2022,93481.14844,eva.williams.emp1039@example.com,8147617421,Poor,0
EMP1040,Bob Williams,25,Sales,New York,Pending,27-06-2021,59271.96094,bob.williams.emp1040@example.com,4386490809,Excellent,1
EMP1041,Bob Davis,30,HR,California,Active,16-06-2022,108362.1484,bob.davis.emp1041@example.com,8186617944,Excellent,0
EMP1042,Alice Johnson,32,HR,Nevada,Active,03-12-2024,59400.37891,alice.johnson.emp1042@example.com,4918017225,Average,1
EMP1043,Bob Garcia,32,Admin,California,Inactive,23-05-2023,64744.07813,bob.garcia.emp1043@example.com,NULL,Excellent,0
EMP1044,Eva Brown,32,Finance,California,Active,08-07-2020,94399.90625,eva.brown.emp1044@example.com,5232194167,Good,1
EMP1045,Alice Brown,25,HR,New York,Pending,20-06-2021,61310.73828,alice.brown.emp1045@example.com,NULL,Average,1
EMP1046,Grace Garcia,32,Cloud Tech,Texas,Active,13-12-2024,98371.36719,grace.garcia.emp1046@example.com,7499564121,Excellent,0
EMP1047,Alice Davis,35,Sales,Illinois,Active,30-05-2022,58921.19141,alice.davis.emp1047@example.com,NULL,Average,1
EMP1048,Alice Miller,35,Admin,Nevada,Active,27-09-2023,57195.55078,alice.miller.emp1048@example.com,6831472759,Excellent,0
EMP1049,Grace Miller,32,DevOps,New York,Active,05-11-2024,61375.12109,grace.miller.emp1049@example.com,1227770792,Excellent,1
